frequency,timestamp
51.68,2024-10-03 20:35:33.207
51.27,2024-10-03 20:35:34.224
50.81,2024-10-03 20:35:35.241
49.5,2024-10-03 20:35:36.256
52.08,2024-10-03 20:35:37.258
49.55,2024-10-03 20:35:38.273
51.4,2024-10-03 20:35:39.287
50.59,2024-10-03 20:35:40.296
49.33,2024-10-03 20:35:41.307
52.68,2024-10-03 20:35:42.310
51.78,2024-10-03 20:35:43.311
49.47,2024-10-03 20:35:44.327
51.96,2024-10-03 20:35:45.342
49.83,2024-10-03 20:35:46.355
50.7,2024-10-03 20:35:47.368
50.5,2024-10-03 20:35:48.383
52.21,2024-10-03 20:35:49.389
52.15,2024-10-03 20:35:50.403
49.19,2024-10-03 20:35:51.411
52.22,2024-10-03 20:35:52.425
50.66,2024-10-03 20:35:53.437
51.92,2024-10-03 20:35:54.449
49.5,2024-10-03 20:35:55.455
50.54,2024-10-03 20:35:56.468
49.61,2024-10-03 20:35:57.480
52.55,2024-10-03 20:35:58.494
52.34,2024-10-03 20:35:59.503
52.66,2024-10-03 20:36:00.512
49.42,2024-10-03 20:36:01.514
52.79,2024-10-03 20:36:02.524
51.79,2024-10-03 20:36:03.534
50.51,2024-10-03 20:36:04.545
49.46,2024-10-03 20:36:05.559
49.63,2024-10-03 20:36:06.573
49.62,2024-10-03 20:36:07.574
50.41,2024-10-03 20:36:08.587
51.88,2024-10-03 20:36:09.602
50.41,2024-10-03 20:36:10.617
52.06,2024-10-03 20:36:11.630
49.9,2024-10-03 20:36:12.642
50.98,2024-10-03 20:36:13.657
49.39,2024-10-03 20:36:14.671
51.96,2024-10-03 20:36:15.686
52.44,2024-10-03 20:36:16.699
49.43,2024-10-03 20:36:17.711
52.84,2024-10-03 20:36:18.727
49.87,2024-10-03 20:36:21.857
49.97,2024-10-03 20:36:21.864
50.06,2024-10-03 20:36:21.871
51.53,2024-10-03 20:36:22.768
52.28,2024-10-03 20:36:23.772
51.11,2024-10-03 20:36:24.787
51.98,2024-10-03 20:36:25.799
51.63,2024-10-03 20:36:26.803
50.81,2024-10-03 20:36:27.817
51.55,2024-10-03 20:36:28.831
50.67,2024-10-03 20:36:29.845
51.55,2024-10-03 20:36:30.850
52.4,2024-10-03 20:36:31.852
51.97,2024-10-03 20:36:32.864
49.45,2024-10-03 20:36:33.877
51.25,2024-10-03 20:36:34.890
52.16,2024-10-03 20:36:35.905
50.24,2024-10-03 20:36:36.915
51.82,2024-10-03 20:36:37.916
49.29,2024-10-03 20:36:38.926
49.14,2024-10-03 20:36:39.935
49.07,2024-10-03 20:36:43.923
49.14,2024-10-03 20:36:47.319
49.93,2024-10-03 20:36:51.409
52.0,2024-10-03 20:36:51.418
52.09,2024-10-03 20:36:51.425
52.48,2024-10-03 20:36:51.432
51.35,2024-10-03 20:36:51.438
49.67,2024-10-03 20:36:51.445
50.25,2024-10-03 20:36:51.452
51.0,2024-10-03 20:36:51.460
51.3,2024-10-03 20:36:51.467
50.04,2024-10-03 20:36:52.081
52.31,2024-10-03 20:36:53.097
51.62,2024-10-03 20:36:54.111
52.01,2024-10-03 20:36:55.124
51.81,2024-10-03 20:36:56.136
49.34,2024-10-03 20:36:57.149
50.43,2024-10-03 20:36:58.150
49.35,2024-10-03 20:36:59.163
52.22,2024-10-03 20:37:00.176
51.09,2024-10-03 20:37:01.189
51.89,2024-10-03 20:37:02.204
50.77,2024-10-03 20:37:03.218
52.71,2024-10-03 20:37:04.232
51.8,2024-10-03 20:42:22.797
52.61,2024-10-03 20:42:23.060
52.69,2024-10-03 20:42:23.312
51.97,2024-10-03 20:42:27.371
51.24,2024-10-03 20:42:27.379
50.63,2024-10-03 20:42:27.387
52.01,2024-10-03 20:42:27.395
49.1,2024-10-03 20:42:27.401
52.11,2024-10-03 20:42:31.475
52.77,2024-10-03 20:42:31.484
51.71,2024-10-03 20:42:35.637
52.18,2024-10-03 20:42:35.644
50.93,2024-10-03 20:42:35.651
49.79,2024-10-03 20:42:35.657
51.3,2024-10-03 20:42:35.663
52.89,2024-10-03 20:42:35.670
49.44,2024-10-03 20:42:39.626
52.35,2024-10-03 20:42:39.635
51.48,2024-10-03 20:42:39.641
50.84,2024-10-03 20:42:39.647
52.24,2024-10-03 20:42:39.654
51.17,2024-10-03 20:42:39.661
49.01,2024-10-03 20:42:39.669
50.88,2024-10-03 20:42:43.778
49.77,2024-10-03 20:42:43.785
52.42,2024-10-03 20:42:43.793
50.27,2024-10-03 20:42:43.800
52.8,2024-10-03 20:42:43.808
51.91,2024-10-03 20:42:48.078
49.18,2024-10-03 20:42:48.087
49.44,2024-10-03 20:42:48.095
51.11,2024-10-03 20:42:48.102
50.4,2024-10-03 20:42:48.109
51.6,2024-10-03 20:42:48.116
50.78,2024-10-03 20:42:48.123
51.95,2024-10-03 20:42:48.131
52.8,2024-10-03 20:42:48.138
52.59,2024-10-03 20:42:52.073
49.76,2024-10-03 20:42:52.081
51.41,2024-10-03 20:42:52.090
52.55,2024-10-03 20:42:52.098
52.3,2024-10-03 20:42:52.107
51.84,2024-10-03 20:42:52.117
49.49,2024-10-03 20:42:52.126
49.8,2024-10-03 20:42:52.136
52.33,2024-10-03 20:42:52.145
49.77,2024-10-03 20:42:52.153
52.31,2024-10-03 20:42:52.162
52.04,2024-10-03 20:42:52.171
50.92,2024-10-03 20:42:52.180
50.0,2024-10-03 20:42:52.187
49.73,2024-10-03 20:42:52.197
50.72,2024-10-03 20:42:52.206
50.01,2024-10-03 20:42:52.215
52.17,2024-10-03 20:42:52.225
51.94,2024-10-03 20:42:52.232
49.77,2024-10-03 20:42:52.243
49.77,2024-10-03 20:42:52.251
49.45,2024-10-03 20:42:52.263
51.23,2024-10-03 20:42:52.271
50.38,2024-10-03 20:42:52.279
51.88,2024-10-03 20:42:52.288
52.38,2024-10-03 20:42:52.297
50.96,2024-10-03 20:42:52.306
51.36,2024-10-03 20:42:52.314
51.36,2024-10-03 20:42:52.322
51.08,2024-10-03 20:42:52.330
52.51,2024-10-03 20:42:52.337
50.84,2024-10-03 20:42:52.346
50.76,2024-10-03 20:42:52.353
51.89,2024-10-03 20:42:52.361
51.21,2024-10-03 20:42:52.369
49.22,2024-10-03 20:42:52.377
50.92,2024-10-03 20:42:52.385
49.32,2024-10-03 20:42:52.394
51.75,2024-10-03 20:42:52.402
51.35,2024-10-03 20:42:52.411
50.35,2024-10-03 20:42:52.425
50.04,2024-10-03 20:42:52.434
49.87,2024-10-03 20:42:52.447
50.44,2024-10-03 20:42:52.458
50.52,2024-10-03 20:42:52.468
51.2,2024-10-03 20:42:52.477
49.52,2024-10-03 20:42:52.485
49.53,2024-10-03 20:42:52.493
52.73,2024-10-03 20:42:52.501
49.73,2024-10-03 20:42:55.768
50.72,2024-10-03 20:42:55.777
52.91,2024-10-03 20:42:55.784
49.07,2024-10-03 20:42:59.176
50.44,2024-10-03 20:43:03.287
49.73,2024-10-03 20:43:03.297
51.4,2024-10-03 20:43:03.304
51.86,2024-10-03 20:43:03.311
49.25,2024-10-03 20:43:03.319
49.02,2024-10-03 20:43:03.326
51.52,2024-10-03 20:43:07.444
49.48,2024-10-03 20:43:07.452
51.66,2024-10-03 20:43:07.459
50.53,2024-10-03 20:43:07.466
51.31,2024-10-03 20:43:07.473
49.9,2024-10-03 20:43:07.480
50.72,2024-10-03 20:43:07.488
49.45,2024-10-03 20:43:07.495
50.71,2024-10-03 20:43:07.503
51.47,2024-10-03 20:43:07.510
50.24,2024-10-03 20:43:07.519
49.34,2024-10-03 20:43:07.527
50.09,2024-10-03 20:43:07.535
50.58,2024-10-03 20:43:07.542
51.0,2024-10-03 20:43:07.549
51.41,2024-10-03 20:43:07.557
51.27,2024-10-03 20:43:07.567
49.35,2024-10-03 20:43:07.577
50.54,2024-10-03 20:43:07.586
52.04,2024-10-03 20:43:07.595
49.9,2024-10-03 20:43:07.603
52.42,2024-10-03 20:43:07.610
52.48,2024-10-03 20:43:07.617
50.36,2024-10-03 20:43:07.625
51.46,2024-10-03 20:43:07.632
50.19,2024-10-03 20:43:07.639
51.17,2024-10-03 20:43:07.647
51.3,2024-10-03 20:43:07.655
49.7,2024-10-03 20:43:07.663
49.99,2024-10-03 20:43:07.672
52.04,2024-10-03 20:43:07.682
50.9,2024-10-03 20:43:07.692
50.54,2024-10-03 20:43:07.700
49.95,2024-10-03 20:43:07.707
52.62,2024-10-03 20:43:07.715
49.97,2024-10-03 20:43:07.722
50.82,2024-10-03 20:43:07.730
50.05,2024-10-03 20:43:07.738
49.08,2024-10-03 20:43:07.746
51.01,2024-10-03 20:43:11.793
51.19,2024-10-03 20:43:11.802
52.41,2024-10-03 20:43:11.810
50.77,2024-10-03 20:43:11.818
50.32,2024-10-03 20:43:11.826
50.95,2024-10-03 20:43:11.835
50.15,2024-10-03 20:43:11.842
52.67,2024-10-03 20:43:11.849
52.14,2024-10-03 20:43:11.857
50.24,2024-10-03 20:43:11.865
52.07,2024-10-03 20:43:11.874
51.37,2024-10-03 20:43:11.882
49.26,2024-10-03 20:43:11.891
52.68,2024-10-03 20:43:11.898
52.17,2024-10-03 20:43:11.905
51.5,2024-10-03 20:43:11.913
50.78,2024-10-03 20:43:11.920
49.7,2024-10-03 20:43:11.927
51.34,2024-10-03 20:43:11.935
50.5,2024-10-03 20:43:11.942
50.83,2024-10-03 20:43:11.950
51.21,2024-10-03 20:43:11.958
52.12,2024-10-03 20:43:11.966
50.75,2024-10-03 20:43:11.973
51.3,2024-10-03 20:43:11.981
51.25,2024-10-03 20:43:11.989
52.57,2024-10-03 20:43:11.997
51.08,2024-10-03 20:43:12.005
52.54,2024-10-03 20:43:12.013
52.86,2024-10-03 20:43:12.021
49.39,2024-10-03 20:43:16.282
50.41,2024-10-03 20:43:16.289
49.49,2024-10-03 20:43:16.295
50.13,2024-10-03 20:43:16.302
49.19,2024-10-03 20:43:16.309
49.49,2024-10-03 20:43:16.317
50.33,2024-10-03 20:43:16.324
50.68,2024-10-03 20:43:16.332
51.15,2024-10-03 20:43:16.339
52.91,2024-10-03 20:43:16.346
51.52,2024-10-03 20:43:20.456
50.06,2024-10-03 20:43:20.465
52.55,2024-10-03 20:43:20.474
51.23,2024-10-03 20:43:20.482
52.07,2024-10-03 20:43:20.491
51.58,2024-10-03 20:43:20.499
51.58,2024-10-03 20:43:20.506
52.26,2024-10-03 20:43:20.513
51.75,2024-10-03 20:43:20.521
51.83,2024-10-03 20:43:20.529
51.71,2024-10-03 20:43:20.537
51.72,2024-10-03 20:43:20.545
51.65,2024-10-03 20:43:20.552
49.34,2024-10-03 20:43:20.560
50.09,2024-10-03 20:43:20.570
51.43,2024-10-03 20:43:20.578
51.36,2024-10-03 20:43:20.586
49.31,2024-10-03 20:43:20.593
50.03,2024-10-03 20:43:20.603
51.93,2024-10-03 20:43:20.610
50.02,2024-10-03 20:43:20.618
49.61,2024-10-03 20:43:20.626
50.4,2024-10-03 20:43:20.634
49.45,2024-10-03 20:43:20.642
52.61,2024-10-03 20:43:20.650
52.09,2024-10-03 20:43:20.657
51.0,2024-10-03 20:43:20.666
51.44,2024-10-03 20:43:20.675
49.14,2024-10-03 20:43:20.683
49.72,2024-10-03 20:43:20.690
50.13,2024-10-03 20:43:20.698
50.25,2024-10-03 20:43:20.706
49.85,2024-10-03 20:43:20.713
50.33,2024-10-03 20:43:20.721
51.37,2024-10-03 20:43:20.728
52.84,2024-10-03 20:43:20.736
50.84,2024-10-03 20:43:20.744
50.8,2024-10-03 20:43:20.752
51.39,2024-10-03 20:43:20.761
49.46,2024-10-03 20:43:20.770
52.96,2024-10-03 20:43:20.778
50.74,2024-10-03 20:43:24.477
51.67,2024-10-03 20:43:24.485
51.29,2024-10-03 20:43:24.493
52.26,2024-10-03 20:43:24.500
52.81,2024-10-03 20:43:24.509
50.86,2024-10-03 20:43:27.806
51.56,2024-10-03 20:43:27.817
50.27,2024-10-03 20:43:27.825
52.48,2024-10-03 20:43:27.833
49.61,2024-10-03 20:43:27.840
50.34,2024-10-03 20:43:27.847
51.34,2024-10-03 20:43:27.855
52.79,2024-10-03 20:43:27.861
49.1,2024-10-03 20:43:31.146
50.73,2024-10-03 20:43:35.093
50.13,2024-10-03 20:43:35.103
51.28,2024-10-03 20:43:35.109
49.77,2024-10-03 20:43:35.116
52.59,2024-10-03 20:43:35.123
50.65,2024-10-03 20:43:35.130
52.38,2024-10-03 20:43:35.137
52.17,2024-10-03 20:43:35.144
50.34,2024-10-03 20:43:35.151
51.64,2024-10-03 20:43:35.159
50.53,2024-10-03 20:43:35.166
52.32,2024-10-03 20:43:35.174
52.68,2024-10-03 20:43:35.181
50.82,2024-10-03 20:43:35.189
50.54,2024-10-03 20:43:35.196
51.39,2024-10-03 20:43:35.204
52.86,2024-10-03 20:43:35.212
50.23,2024-10-03 20:43:39.295
52.39,2024-10-03 20:43:39.303
49.14,2024-10-03 20:43:39.310
49.42,2024-10-03 20:43:39.317
51.5,2024-10-03 20:43:39.325
49.86,2024-10-03 20:43:39.331
52.53,2024-10-03 20:43:39.338
50.37,2024-10-03 20:43:39.346
51.23,2024-10-03 20:43:39.353
52.86,2024-10-03 20:43:39.361
49.82,2024-10-03 20:43:42.632
50.31,2024-10-03 20:43:42.642
49.08,2024-10-03 20:43:42.650
50.85,2024-10-03 20:43:46.582
49.11,2024-10-03 20:43:46.589
50.46,2024-10-03 20:43:50.586
52.51,2024-10-03 20:43:50.601
49.16,2024-10-03 20:43:50.614
50.31,2024-10-03 20:43:50.628
51.97,2024-10-03 20:43:50.639
51.98,2024-10-03 20:43:50.647
49.08,2024-10-03 20:43:50.654
49.57,2024-10-03 20:43:54.826
49.71,2024-10-03 20:43:54.834
52.42,2024-10-03 20:43:54.841
52.56,2024-10-03 20:43:54.848
52.94,2024-10-03 20:43:54.854
49.96,2024-10-03 20:43:58.354
50.4,2024-10-03 20:43:58.363
52.49,2024-10-03 20:43:58.372
51.6,2024-10-03 20:43:58.381
51.53,2024-10-03 20:43:58.389
51.35,2024-10-03 20:43:58.398
49.99,2024-10-03 20:43:58.406
51.41,2024-10-03 20:43:58.414
49.85,2024-10-03 20:43:58.423
52.86,2024-10-03 20:43:58.431
49.52,2024-10-03 20:44:02.505
52.57,2024-10-03 20:44:02.512
51.18,2024-10-03 20:44:02.521
52.36,2024-10-03 20:44:02.529
50.55,2024-10-03 20:44:02.536
52.27,2024-10-03 20:44:02.544
49.34,2024-10-03 20:44:02.554
51.59,2024-10-03 20:44:02.562
49.06,2024-10-03 20:44:02.571
49.04,2024-10-03 20:44:05.819
51.48,2024-10-03 20:44:09.221
50.5,2024-10-03 20:44:09.232
50.21,2024-10-03 20:44:09.241
51.99,2024-10-03 20:44:09.250
52.46,2024-10-03 20:44:09.260
51.86,2024-10-03 20:44:09.271
52.25,2024-10-03 20:44:09.282
51.34,2024-10-03 20:44:09.294
51.36,2024-10-03 20:44:09.305
52.71,2024-10-03 20:44:09.315
52.5,2024-10-03 20:44:13.313
51.05,2024-10-03 20:44:13.323
49.85,2024-10-03 20:44:13.331
51.45,2024-10-03 20:44:13.339
51.71,2024-10-03 20:44:13.347
52.09,2024-10-03 20:44:13.355
51.34,2024-10-03 20:44:13.362
49.75,2024-10-03 20:44:13.371
52.79,2024-10-03 20:44:13.379
49.7,2024-10-03 20:44:16.622
49.33,2024-10-03 20:44:16.629
49.8,2024-10-03 20:44:16.637
50.98,2024-10-03 20:44:16.646
51.03,2024-10-03 20:44:16.655
50.12,2024-10-03 20:44:16.663
52.07,2024-10-03 20:44:16.671
50.02,2024-10-03 20:44:16.679
50.98,2024-10-03 20:44:16.689
52.6,2024-10-03 20:44:16.697
52.44,2024-10-03 20:44:16.705
49.59,2024-10-03 20:44:16.714
51.67,2024-10-03 20:44:16.724
52.07,2024-10-03 20:44:16.735
52.97,2024-10-03 20:44:16.745
51.04,2024-10-03 20:44:20.918
51.91,2024-10-03 20:44:20.930
50.53,2024-10-03 20:44:20.939
51.47,2024-10-03 20:44:20.949
49.83,2024-10-03 20:44:20.960
49.38,2024-10-03 20:44:20.973
50.84,2024-10-03 20:44:20.984
49.23,2024-10-03 20:44:20.995
50.78,2024-10-03 20:44:25.053
49.89,2024-10-03 20:44:25.062
52.05,2024-10-03 20:44:25.071
50.55,2024-10-03 20:44:25.080
51.74,2024-10-03 20:44:25.089
50.31,2024-10-03 20:44:25.097
51.5,2024-10-03 20:44:25.106
49.33,2024-10-03 20:44:25.115
51.07,2024-10-03 20:44:25.124
52.54,2024-10-03 20:44:25.133
51.06,2024-10-03 20:44:25.141
50.64,2024-10-03 20:44:25.149
49.21,2024-10-03 20:44:25.157
51.19,2024-10-03 20:44:25.166
52.64,2024-10-03 20:44:25.174
51.8,2024-10-03 20:44:29.278
51.59,2024-10-03 20:44:29.290
50.31,2024-10-03 20:44:29.300
49.71,2024-10-03 20:44:29.312
49.73,2024-10-03 20:44:29.322
50.69,2024-10-03 20:44:29.331
49.19,2024-10-03 20:44:29.342
50.26,2024-10-03 20:44:29.355
51.31,2024-10-03 20:44:29.367
50.35,2024-10-03 20:44:29.377
50.86,2024-10-03 20:44:29.386
51.53,2024-10-03 20:44:29.396
52.16,2024-10-03 20:44:29.406
49.38,2024-10-03 20:44:29.419
52.87,2024-10-03 20:44:29.434
52.92,2024-10-03 20:44:33.369
49.82,2024-10-03 20:44:36.855
50.47,2024-10-03 20:44:36.865
49.99,2024-10-03 20:44:36.874
51.25,2024-10-03 20:44:36.882
50.35,2024-10-03 20:44:36.891
52.63,2024-10-03 20:44:36.900
50.01,2024-10-03 20:44:36.907
51.89,2024-10-03 20:44:36.916
51.49,2024-10-03 20:44:36.925
51.23,2024-10-03 20:44:36.933
49.68,2024-10-03 20:44:36.941
52.61,2024-10-03 20:44:36.949
52.09,2024-10-03 20:44:36.957
51.24,2024-10-03 20:44:36.965
52.7,2024-10-03 20:44:36.974
51.14,2024-10-03 20:44:41.023
49.83,2024-10-03 20:44:41.031
50.33,2024-10-03 20:44:41.038
49.08,2024-10-03 20:44:41.046
52.15,2024-10-03 20:44:44.753
49.66,2024-10-03 20:44:44.762
51.16,2024-10-03 20:44:44.769
49.04,2024-10-03 20:44:44.776
52.7,2024-10-03 20:44:47.948
50.36,2024-10-03 20:44:51.784
52.86,2024-10-03 20:44:51.793
49.87,2024-10-03 20:44:55.877
51.72,2024-10-03 20:44:55.884
49.32,2024-10-03 20:44:55.892
50.15,2024-10-03 20:44:55.902
52.75,2024-10-03 20:44:55.910
49.54,2024-10-03 20:44:59.092
52.47,2024-10-03 20:44:59.102
51.83,2024-10-03 20:44:59.109
49.94,2024-10-03 20:44:59.117
52.67,2024-10-03 20:44:59.125
49.72,2024-10-03 20:44:59.133
49.29,2024-10-03 20:44:59.140
50.17,2024-10-03 20:44:59.149
51.91,2024-10-03 20:44:59.157
51.03,2024-10-03 20:44:59.165
50.13,2024-10-03 20:44:59.173
51.97,2024-10-03 20:44:59.182
49.9,2024-10-03 20:44:59.191
51.2,2024-10-03 20:44:59.200
50.76,2024-10-03 20:44:59.208
51.68,2024-10-03 20:44:59.217
49.28,2024-10-03 20:44:59.225
51.05,2024-10-03 20:44:59.234
51.61,2024-10-03 20:44:59.242
50.48,2024-10-03 20:44:59.250
52.37,2024-10-03 20:44:59.259
51.19,2024-10-03 20:44:59.268
51.25,2024-10-03 20:44:59.276
49.15,2024-10-03 20:44:59.285
52.39,2024-10-03 20:44:59.293
52.94,2024-10-03 20:44:59.302
49.01,2024-10-03 20:45:03.197
52.69,2024-10-03 20:45:06.342
50.72,2024-10-03 20:45:09.655
52.35,2024-10-03 20:45:09.665
49.18,2024-10-03 20:45:09.675
49.12,2024-10-03 20:45:09.687
49.95,2024-10-03 20:45:12.788
49.75,2024-10-03 20:45:12.797
52.48,2024-10-03 20:45:12.805
52.08,2024-10-03 20:45:12.813
50.29,2024-10-03 20:45:12.820
49.99,2024-10-03 20:45:12.830
50.09,2024-10-03 20:45:12.840
49.89,2024-10-03 20:45:12.849
52.98,2024-10-03 20:45:12.858
52.86,2024-10-03 20:45:16.128
51.59,2024-10-03 20:45:20.163
51.76,2024-10-03 20:45:20.172
51.59,2024-10-03 20:45:20.179
49.05,2024-10-03 20:45:20.223
49.03,2024-10-03 20:45:24.489
49.59,2024-10-03 20:45:28.109
50.25,2024-10-03 20:45:28.118
50.52,2024-10-03 20:45:28.125
49.5,2024-10-03 20:45:28.132
50.97,2024-10-03 20:45:28.138
49.46,2024-10-03 20:45:28.145
50.17,2024-10-03 20:45:28.153
49.37,2024-10-03 20:45:28.160
49.63,2024-10-03 20:45:28.167
52.26,2024-10-03 20:45:28.177
52.73,2024-10-03 20:45:28.187
49.51,2024-10-03 20:45:32.607
51.37,2024-10-03 20:45:32.614
52.24,2024-10-03 20:45:32.621
51.23,2024-10-03 20:45:32.628
52.96,2024-10-03 20:45:32.637
49.89,2024-10-03 20:45:36.426
51.99,2024-10-03 20:45:36.436
52.49,2024-10-03 20:45:36.443
51.43,2024-10-03 20:45:36.450
51.83,2024-10-03 20:45:36.456
52.77,2024-10-03 20:45:36.463
52.97,2024-10-03 20:45:40.646
50.23,2024-10-03 20:45:44.963
52.27,2024-10-03 20:45:44.971
51.06,2024-10-03 20:45:44.978
49.69,2024-10-03 20:45:44.987
49.95,2024-10-03 20:45:44.995
52.71,2024-10-03 20:45:45.004
52.27,2024-10-03 20:45:48.168
52.62,2024-10-03 20:45:48.175
51.04,2024-10-03 20:45:48.182
49.14,2024-10-03 20:45:48.189
51.72,2024-10-03 20:45:48.198
49.98,2024-10-03 20:45:48.205
49.87,2024-10-03 20:45:48.213
51.43,2024-10-03 20:45:48.221
50.99,2024-10-03 20:45:48.229
52.21,2024-10-03 20:45:48.237
49.05,2024-10-03 20:45:48.245
50.13,2024-10-03 20:45:52.046
49.37,2024-10-03 20:45:52.057
51.2,2024-10-03 20:45:52.064
51.81,2024-10-03 20:45:52.073
51.24,2024-10-03 20:45:52.080
49.63,2024-10-03 20:45:52.088
52.9,2024-10-03 20:45:52.095
51.35,2024-10-03 20:45:55.785
50.4,2024-10-03 20:45:55.794
52.03,2024-10-03 20:45:55.803
52.11,2024-10-03 20:45:55.811
51.68,2024-10-03 20:45:55.822
49.92,2024-10-03 20:45:55.832
51.18,2024-10-03 20:45:55.840
50.1,2024-10-03 20:45:55.848
50.24,2024-10-03 20:45:55.856
52.54,2024-10-03 20:45:55.865
51.82,2024-10-03 20:45:55.873
51.49,2024-10-03 20:45:55.883
51.77,2024-10-03 20:45:55.892
51.41,2024-10-03 20:45:55.900
51.94,2024-10-03 20:45:55.909
50.03,2024-10-03 20:45:55.918
51.37,2024-10-03 20:45:55.927
51.69,2024-10-03 20:45:55.935
52.46,2024-10-03 20:45:55.943
49.72,2024-10-03 20:45:55.951
50.42,2024-10-03 20:45:55.962
51.68,2024-10-03 20:45:55.970
49.08,2024-10-03 20:45:55.979
49.05,2024-10-03 20:45:59.141
50.14,2024-10-03 20:46:02.271
49.44,2024-10-03 20:46:02.279
52.14,2024-10-03 20:46:02.286
51.83,2024-10-03 20:46:02.292
52.32,2024-10-03 20:46:02.299
50.96,2024-10-03 20:46:02.305
50.75,2024-10-03 20:46:02.313
52.57,2024-10-03 20:46:02.320
50.26,2024-10-03 20:46:02.328
52.39,2024-10-03 20:46:02.335
49.61,2024-10-03 20:46:02.343
52.35,2024-10-03 20:46:02.350
52.37,2024-10-03 20:46:02.358
49.97,2024-10-03 20:46:02.365
49.26,2024-10-03 20:46:02.372
50.69,2024-10-03 20:46:02.379
50.36,2024-10-03 20:46:02.386
50.88,2024-10-03 20:46:02.394
49.22,2024-10-03 20:46:02.402
50.99,2024-10-03 20:46:02.409
51.79,2024-10-03 20:46:02.416
49.52,2024-10-03 20:46:02.426
50.97,2024-10-03 20:46:02.434
49.77,2024-10-03 20:46:02.441
49.2,2024-10-03 20:46:02.450
52.25,2024-10-03 20:46:02.457
51.66,2024-10-03 20:46:02.464
50.24,2024-10-03 20:46:02.471
50.61,2024-10-03 20:46:02.478
50.32,2024-10-03 20:46:02.486
51.03,2024-10-03 20:46:02.493
50.53,2024-10-03 20:46:02.501
49.16,2024-10-03 20:46:02.508
50.05,2024-10-03 20:46:02.516
52.6,2024-10-03 20:46:02.524
50.31,2024-10-03 20:46:02.532
51.19,2024-10-03 20:46:02.539
50.5,2024-10-03 20:46:02.546
50.88,2024-10-03 20:46:02.553
52.79,2024-10-03 20:46:02.561
52.03,2024-10-03 20:46:06.524
49.31,2024-10-03 20:46:06.533
50.47,2024-10-03 20:46:06.541
51.65,2024-10-03 20:46:06.547
50.05,2024-10-03 20:46:06.554
49.71,2024-10-03 20:46:06.562
50.07,2024-10-03 20:46:06.569
51.36,2024-10-03 20:46:06.576
50.28,2024-10-03 20:46:06.583
52.64,2024-10-03 20:46:06.590
50.82,2024-10-03 20:46:10.426
51.59,2024-10-03 20:46:10.433
51.65,2024-10-03 20:46:10.440
49.24,2024-10-03 20:46:10.446
